"","Coverage","Uncut","Cut","Diversity","Substitutions","Indel","Cmut","CmutPam","C.T","length","active.UncutPAM.qualiy","uncut.quality","inactive.PAM.quality","cut.length","all.length","Mutationperbase","System","Day","Lane","gRNA","p.cut","p.uncut","p.uncut.quality","Day.c","replicate","p.active.uncut.PAM","p.inactive.cut"
"32",1828,1482,346,0.119776230339517,0.221553610503282,0.346827133479212,0.151531728665208,0.118708971553611,0.012582056892779,24.5103938730853,305,1439,84,22.6992287917738,24.5103938730853,"0.02_0.11_0.03_0.07_0.02_0.03_0.05_0.04_0.03_0.01_0.05_0.04_0.04_0.1_0.02_0.21_0.09_0.38_0.07_0.42","Cas9",2,8227,"g5",0.172053704624565,0.810722100656455,0.787199124726477,2,"Replicate1",0.166849015317287,0.0459518599562363
"33",5033,4743,290,0.0702515833198293,0.0725213590303994,0.0190741108682694,0.050268229684085,0.00635803695608981,0.00417246175243394,24.9976157361415,277,4667,89,24.9699453551913,24.9976157361415,"0.08_0.05_0.11_0.08_0.08_0.06_0.03_0.13_0.08_0.04_0.04_0.03_0.13_0.08_0.01_0.08_0.06_0.05_0.11_0.04","Cas9",0,8227,"g4",0.0490859851049424,0.942380290085436,0.927279952314723,0,"Replicate1",0.0550367574011524,0.0176832902841248
"34",3815,3587,228,0,0.0757536041939712,0.0212319790301442,0.0442988204456094,0.000786369593709043,0.00655307994757536,29.9740498034076,220,3517,78,29.6744966442953,29.9740498034076,"0.04_0.06_0.03_0.06_0.07_0.01_0.01_0.07_0.07_0.03_0.03_0.04_0.07_0.07_0.06_0.07_0.06_0.09_0.03_0.01","BE3",0,8227,"g6",0.046961894953656,0.940235910878113,0.921887287024902,0,"Replicate1",0.0576671035386632,0.0204456094364351
"35",2513,396,2117,0.355438762767442,0.892558694787107,2.00039793076005,0.530043772383605,0.276959808993235,0.0477516912057302,23.3255073617191,1858,388,267,23.0197647058824,23.3255073617191,"0.03_0.05_0.1_0.09_0.07_0.08_0.04_0.14_0.06_0.06_0.06_0.08_0.17_0.13_0.1_0.21_0.15_0.46_0.34_0.06","BE3",4,8227,"g4",0.704961704961705,0.15758058097891,0.154397134898528,4,"Replicate1",0.739355352168723,0.10624751293275
"36",11304,10793,511,0.068213445502903,0.0527246992215145,0.0171620665251239,0.0194621372965322,0,0.00283085633404105,24.986288039632,494,10602,208,24.7777777777778,24.986288039632,"0.06_0.06_0.07_0.04_0.05_0.06_0.07_0.07_0.06_0.08_0.1_0.07_0.08_0.05_0.15_0.07_0.1_0.06_0.06_0.1","BE3",0,8227,"g2",0.0376538206469678,0.954794762915782,0.937898089171974,0,"Replicate1",0.0437013446567587,0.0184005661712668
"37",26887,3634,23253,0.353974148267658,0.978205080522185,1.8971993900398,0.553538884962993,0.326663443299736,0.0509167999404917,23.4319187711533,20465,3517,2905,23.1959349593496,23.4319187711533,"0.04_0.05_0.11_0.08_0.09_0.09_0.03_0.11_0.08_0.05_0.06_0.07_0.16_0.12_0.11_0.14_0.11_0.52_0.39_0.08","BE3",4,8227,"g4",0.726179694575435,0.135158254918734,0.130806709562242,4,"Replicate1",0.761148510432551,0.108044780005207
"38",1674,1139,535,0.191280220540359,0.50179211469534,0.791517323775388,0.34468339307049,0.250298685782557,0.0400238948626045,23.9808841099164,461,1117,96,21.9317773788151,23.9808841099164,"0.06_0.08_0.06_0.09_0.04_0.05_0.05_0.05_0.08_0.05_0.06_0.05_0.08_0.13_0.11_0.27_0.24_0.33_0.06_0.44","BE3",4,8227,"g5",0.286402569593148,0.680406212664277,0.66726403823178,4,"Replicate1",0.275388291517324,0.0573476702508961
"39",1232,1098,134,0.0375837116510052,0.298701298701299,0.181818181818182,0.219155844155844,0.0965909090909091,0.0243506493506494,29.7053571428571,111,1087,34,27.4965517241379,29.7053571428571,"0.19_0.08_0.19_0.15_0.09_0.15_0.08_0.06_0.16_0.08_0.04_0.12_0.08_0.1_0.02_0.04_0.04_0.13_0.05_0.09","BE3",4,8227,"g9",0.0931849791376912,0.891233766233766,0.882305194805195,4,"Replicate1",0.0900974025974026,0.0275974025974026
"40",1456,1362,94,0.0170160563202506,0.182692307692308,0.0940934065934066,0.127747252747253,0.0528846153846154,0.0199175824175824,29.8447802197802,71,1337,48,28.1008403361345,29.8447802197802,"0.17_0.07_0.13_0.15_0.09_0.09_0.09_0.07_0.09_0.09_0.07_0.04_0.04_0.07_0.02_0.09_0.04_0.07_0.09_0.07","Cas9",4,8227,"g9",0.0544927536231884,0.93543956043956,0.918269230769231,4,"Replicate1",0.0487637362637363,0.032967032967033
"41",2292,768,1524,0.322266676847322,0.885253054101222,1.70244328097731,0.544938917975567,0.239965095986038,0.050174520069808,23.7753054101222,1236,753,303,23.1728395061728,23.7753054101222,"0.03_0.07_0.14_0.09_0.11_0.08_0.04_0.18_0.08_0.06_0.07_0.07_0.2_0.14_0.11_0.24_0.11_0.51_0.39_0.06","Cas9",2,8227,"g4",0.554181818181818,0.335078534031414,0.328534031413613,2,"Replicate1",0.539267015706806,0.132198952879581
