"","X","File_Name","Day","Lane","gRNA","System","Coverage","p.uncut","div","Mean_length","Diversity","Indels","Replicate"
"16",16,"A10_8238",18,8238,"g2","Cas9",37384,0.160603467,3.418120051,23.80983843,0.114385552581807,0.879838495200793,"Replicate1"
"17",17,"A12_8238",18,8238,"g7","BE3",8453,0.054655152,0.508103632,26.33964273,0.137721207097049,1.03555268261151,"Replicate1"
"18",18,"A5_8238",0,8238,"g5","Cas9",27756,0.977482346,19.54834991,24.9733391,0.00327605882243108,0.0221866422689844,"Replicate1"
"19",19,"A7_8238",4,8238,"g3","BE3",137162,0.419044633,2.734394366,22.91717823,0.115161494005683,1.22803063594701,"Replicate1"
"20",20,"A8_8238",8,8238,"g2","Cas9",51318,0.293815036,7.24320901,24.30963794,0.0874510371266819,0.551648274898729,"Replicate1"
"21",21,"A9_8238",8,8238,"g3","BE3",79236,0.298210409,-3.745279923,21.97541522,0.16844235748766,1.9170882487019,"Replicate1"
"22",22,"B01_8227",0,8227,"g2","Cas9",2560,0.948046875,19.37226563,24.97734375,0.0091025641025641,0.000961538461538462,"Replicate1"
"23",23,"B01_8468",4,8468,"g2","BE3",2424,0.426980198,10.08168317,24.5919967,0.0707685372999775,0.409195402298851,"Replicate2"
"24",24,"B02_8227",0,8227,"g1","BE3",6177,0.930225028,19.44681884,24.98996277,0.00870625358577166,0.00401606425702811,"Replicate1"
"25",25,"B02_8468",4,8468,"g2","Cas9",29984,0.34911953,9.485692369,24.57237193,0.0754387447974719,0.429800049677099,"Replicate2"
"26",26,"B03_8227",0,8227,"g7","BE3",839,0.9511323,24.18831943,29.94398093,0.017208023622849,0.0434782608695652,"Replicate1"
"27",27,"B03_8468",10,8468,"g2","BE3",25168,0.421288938,11.42168627,24.86232517,0.0620990820015206,0.294880721169702,"Replicate2"
"28",28,"B04_8227",2,8227,"g2","BE3",1615,0.566563467,8.291640867,24.81176471,0.0852703420883332,0.155492154065621,"Replicate1"
"29",29,"B04_8468",10,8468,"g2","Cas9",21734,0.245836017,7.527974602,24.41934296,0.0908405220178934,0.611621575633827,"Replicate2"
"30",30,"B05_8468",18,8468,"g2","BE3",11842,0.305438271,6.416652592,24.74691775,0.0916513549194942,0.418153607447634,"Replicate2"
"31",31,"B06_8227",4,8227,"g7","Cas9",1456,0.93543956,23.17513736,29.84478022,0.0146271436331186,0.14828897338403,"Replicate1"
"32",32,"B06_8468",18,8468,"g2","Cas9",36198,0.188159567,3.896983259,23.76642356,0.110575205940928,0.889754923756964,"Replicate2"
"33",33,"B07_8468",4,8468,"g7","Cas9",410,0.443902439,7.219512195,27.78780488,0.0919369427574622,0.743119266055046,"Replicate2"
"34",34,"B10_8238",18,8238,"g3","Cas9",14010,0.125267666,-10.83033547,20.8178444,0.224382249840749,2.64262252849874,"Replicate1"
"35",35,"B11_8238",18,8238,"g2","BE3",18437,0.351033248,-3.090849921,22.64522428,0.0957124196906154,0.221277048221596,"Replicate1"
"36",36,"B12_8238",4,8238,"g1","Cas9",177107,0.252169592,0.723556946,23.24213611,0.118815943830118,0.902974401492383,"Replicate1"
"37",37,"B7_8238",2,8238,"g4","BE3",56606,0.347242342,3.996749461,23.46076388,0.0979737205885107,0.700577606873361,"Replicate1"
"38",38,"B8_8238",8,8238,"g3","Cas9",33078,0.325019651,-1.511276377,22.26068686,0.146427555373134,1.64680805712459,"Replicate1"
"39",39,"B9_8238",8,8238,"g4","BE3",16371,0.173416407,-4.609858897,21.99688474,0.142426213848889,1.01181148403695,"Replicate1"
"40",40,"C01_8227",0,8227,"g3","Cas9",3228,0.93401487,19.19981413,24.99194548,0.0137411089792042,0.00151171579743008,"Replicate1"
"41",41,"C01_8468",4,8468,"g3","BE3",15283,0.482562324,4.18641628,23.20270889,0.106705825945638,1.12133038210624,"Replicate2"
"42",42,"C02_8227",0,8227,"g2","BE3",11304,0.954794763,19.55290163,24.98628804,0.00389640253457791,0.00597874224977857,"Replicate1"
"43",43,"C02_8468",4,8468,"g3","Cas9",21069,0.462860126,4.223693578,23.12691632,0.108647710293633,1.17266156096721,"Replicate2"
"44",44,"C03_8227",2,8227,"g1","Cas9",2674,0.282722513,5.127150337,23.97307405,0.0911295520464067,0.501869158878505,"Replicate1"
"45",45,"C03_8468",10,8468,"g3","BE3",11634,0.361784425,-0.047619048,22.53515558,0.141762269936652,1.56448612618199,"Replicate2"
"46",46,"C04_8227",2,8227,"g3","BE3",2690,0.650929368,11.15762082,24.14572491,0.0564264273369516,0.468694096601073,"Replicate1"
"47",47,"C04_8468",10,8468,"g3","Cas9",15920,0.375,-0.094221106,22.48335427,0.141247530541384,1.59248538180976,"Replicate2"
"48",48,"C05_8227",4,8227,"g2","Cas9",2617,0.382881162,8.242262132,24.22735957,0.0910466533034626,0.465953307392996,"Replicate1"
"49",49,"C06_8227",4,8227,"g1","BE3",1081,0.572617946,7.410730805,23.89546716,0.0881652265202293,0.662763466042155,"Replicate1"
"50",50,"C06_8468",18,8468,"g3","Cas9",17298,0.296103596,-4.595155509,21.75078044,0.17224575235341,2.02607193340663,"Replicate2"
"51",51,"C07_8227",4,8227,"g7","BE3",1232,0.891233766,21.71996753,29.70535714,0.0209529699325618,0.145021645021645,"Replicate1"
"52",52,"C07_8467",2,8467,"g1","Cas9",10134,0.333333333,5.266824551,23.81448589,0.0916128601018446,0.62683092443496,"Replicate2"
